age,breed,base_energy_level,hours_since_last_activity,total_distance_24h,total_duration_24h,num_activities_24h,hour_of_day,day_of_week,energy_state,energy_state_class,energy_score
1,Shih Tzu,low,6.228337937385531,3367.9787337621588,23.63135235495617,3,4,0,low,0,0.2759818607099722
10,Labrador,high,14.55789839368631,6079.796520535968,54.06981720987227,4,23,3,medium,1,0.5926693056379331
13,Rottweiler,medium,10.515833713500445,6217.136784692045,63.27391287706851,2,3,6,low,0,0.11071757261748011
13,Dachshund,medium,2.556355253143305,3077.2746834355953,39.214447625942555,0,20,2,low,0,0.07659998748139624
2,Bulldog,low,29.33635869575739,886.7403383097372,30.306368950052658,2,7,0,high,2,0.843302302255574
7,Labrador,high,8.586394090415398,3387.629346785412,34.63408783865779,0,11,3,high,2,0.8532635877698208
11,Chihuahua,medium,14.8163999936197,3970.6742306238602,54.9219084460735,1,21,6,low,0,0.18806144160771293
12,Poodle,medium,13.380307410186976,3856.7683047711184,86.43399463794563,1,17,5,low,0,0.2421807052886517
7,Golden Retriever,high,7.657549002387261,5704.703914314347,59.27644538154226,0,9,3,high,2,0.787152468393738
6,Husky,high,7.183511395063261,4559.535958364999,56.613094131154966,0,6,1,high,2,0.8546202970879337
4,Poodle,medium,4.0475360609254025,7401.472279662588,90.01165604762342,0,21,2,low,0,0.0
13,German Shepherd,high,18.622452291585837,8305.042047274288,67.96173792902715,0,22,2,low,0,0.2921673372007388
13,Rottweiler,medium,2.8781352790325623,6901.440776190488,43.165262376314864,4,9,2,low,0,0.14263598547165962
10,Corgi,medium,5.745472815749894,2162.5746979920896,68.19728024615374,4,22,2,low,0,0.3121768644342552
12,Bulldog,low,1.958364152127826,5587.432625101511,48.9071251804025,0,23,4,low,0,0.0
14,Beagle,high,2.1365213668375347,6169.169065694385,46.191886292014516,0,18,6,medium,1,0.34997882977559286
4,German Shepherd,high,4.848735043569909,1953.9597621348591,92.34761822082598,2,4,1,high,2,0.7327056194460088
7,Corgi,medium,6.592426314094622,7713.6785383213655,58.775645378953634,2,4,4,low,0,0.16678061282157758
5,Shih Tzu,low,9.62524272320496,4941.2757028214955,87.27920200420327,2,1,1,low,0,0.0
7,Husky,high,5.311719144348228,3997.0714026700243,40.15040218338777,1,14,0,high,2,0.7483283627871329
13,German Shepherd,high,0.4956147500310231,3859.5246914290115,120.65836170924695,5,18,5,low,0,0.27504286007499235
8,Husky,high,5.601857673562066,8921.433962812125,73.25307766770109,3,19,4,medium,1,0.37494556262138756
10,Golden Retriever,high,1.5151484474804424,2639.9295208827352,64.14687570447228,4,14,0,high,2,0.7064895136105291
10,Dachshund,medium,14.729580025827778,4684.895222214975,51.04178032653016,4,22,0,medium,1,0.3534615029479057
12,Bulldog,low,5.380044853051264,650.2585147396821,127.70276872166848,4,15,5,low,0,0.0
3,Labrador,high,8.480752379767019,7647.721227020749,14.022816895358488,1,11,0,medium,1,0.6474255571364758
12,Labrador,high,9.932387250624629,6114.115674953568,24.46550484152109,1,12,1,medium,1,0.5375290849093939
12,Corgi,medium,0.05145142733910368,4468.461624335656,216.37883691892517,1,3,5,low,0,0.0
7,Shih Tzu,low,10.722131600339633,2729.6494394081506,29.765744053064154,4,22,3,low,0,0.1238422001751778
10,Border Collie,high,21.41571937550134,3890.00589030998,67.55743326607634,2,9,4,high,2,1.0
4,Bulldog,low,2.149006271861439,3872.116132980883,38.67496211401259,0,21,6,low,0,0.0
4,Beagle,high,1.6736435762629762,2286.9937442788773,41.915501157388036,6,1,5,high,2,0.7858856820541802
11,Golden Retriever,high,0.6547825419818984,1903.1166198985238,27.137525348198555,2,1,1,medium,1,0.6288822318019571
11,Chihuahua,medium,1.430176959836577,6278.307986087595,56.1364454138337,1,17,2,low,0,0.0
13,German Shepherd,high,3.10762542810993,3340.752365999599,35.543923554091194,3,22,2,medium,1,0.4124888062899616
13,Golden Retriever,high,1.9489147502350772,1315.8508780920054,39.311916216976925,4,0,5,medium,1,0.6552510692759552
11,Husky,high,9.595081873078255,3866.3377372883187,14.465135481870984,2,11,6,high,2,0.6917749282759944
12,Labrador,high,3.7751953090993,1245.3699898710877,175.99137452267055,1,13,3,medium,1,0.34821928611937997
4,Husky,high,12.609990134196822,3185.157835068585,55.38809578581518,2,23,0,high,2,0.7305867926679607
8,Beagle,high,3.4823291614674927,6638.864193577986,45.28398150979157,1,17,3,medium,1,0.5464970139686335
12,Dachshund,medium,6.075077011409637,1552.212361329731,91.72408245741562,3,21,0,low,0,0.09547500236683765
4,Golden Retriever,high,0.6846815837081426,1263.0307325534093,57.71427609704216,1,7,3,high,2,0.9413438255326592
8,Husky,high,0.5585667857952128,2254.7930127246473,55.490215243403334,3,23,5,medium,1,0.585296327557933
4,Border Collie,high,2.2654274348826258,5274.634656648941,28.691875091941522,1,17,2,medium,1,0.6495493567859202
14,Rottweiler,medium,5.102539507309043,6187.419110908039,64.59809292556767,2,14,3,low,0,0.01896861282008247
1,Poodle,medium,1.2293567976404964,1430.3212572351213,88.39455871915817,1,1,3,medium,1,0.48035027439533895
7,Rottweiler,medium,18.305424197212155,2437.512532304799,92.50278056140365,2,4,1,medium,1,0.5942493666117388
7,Boxer,high,0.22095005107465124,3590.187270293123,93.1071853824242,1,21,4,medium,1,0.40550330117759625
1,Dachshund,medium,0.4787271789565214,2967.508702489926,31.690396596775507,1,2,0,medium,1,0.5173689393412743
7,Husky,high,17.123133609603133,4710.213407315174,19.644991133138646,3,13,2,high,2,0.9536602778882952
4,Rottweiler,medium,0.431189178314502,3573.9681219005965,131.35522270043722,2,2,6,low,0,0.13102700890677949
9,Rottweiler,medium,2.460006639977193,5780.614451978083,42.12158092100755,2,12,5,low,0,0.25552595791174937
12,German Shepherd,high,12.905786124555,1514.3481928591225,116.59908806452225,4,5,0,medium,1,0.632737823676397
5,Bulldog,low,5.6752091885106015,4549.598518564643,41.66499540059603,1,0,0,low,0,0.05078175352647468
4,German Shepherd,high,15.179446782304638,1347.3431810556663,40.04769634696183,4,2,4,high,2,1.0
10,Husky,high,1.3574928577722434,2291.6118232936174,13.620670167508033,2,23,4,high,2,0.7010764961464836
9,Bulldog,low,28.337717599808464,17357.661974212257,69.92511124405269,3,22,0,low,0,0.0
6,Husky,high,0.00073125090740241,7307.428434103639,61.32962899180047,1,4,5,medium,1,0.40824240898940384
1,Boxer,high,2.02668472964978,2020.5018218654432,31.130228241906174,0,23,3,high,2,0.7847223989108042
11,Poodle,medium,1.3962737096284397,2326.0905586514814,27.96187611206755,1,0,4,low,0,0.28046777136121614
11,German Shepherd,high,1.1100487781058357,3842.0850555774446,36.98861278828389,2,7,5,medium,1,0.6455041776630743
6,Border Collie,high,11.918460922921742,5274.462598347637,69.19511072019871,1,10,5,high,2,0.8591854826806741
12,Pomeranian,medium,0.08846527688298186,3018.438926352764,80.33383878093007,0,4,4,low,0,0.08620015541455867
10,Pomeranian,medium,8.479431604047335,3994.134684565045,38.75549802116701,4,13,4,medium,1,0.47145370060730196
9,Corgi,medium,11.513290532024628,3074.0490257140273,40.24940176952889,6,16,5,medium,1,0.5734883962337466
6,Pomeranian,medium,10.036507596441373,3335.505902361046,69.3034629490215,1,22,2,low,0,0.3105527817598064
3,Golden Retriever,high,4.0502487652733254,5648.248166938277,47.01801543934696,1,2,4,medium,1,0.6110642174732248
9,Chihuahua,medium,12.966083341886707,13129.437013956132,52.26832836721555,1,22,0,low,0,0.0
4,Corgi,medium,2.644828107529394,4946.225968547716,75.37789839516653,3,4,0,low,0,0.2255288310247106
1,Husky,high,0.08815512928715485,5314.4118312768005,46.605786851325526,1,19,6,high,2,0.6660900751498641
9,Shih Tzu,low,8.094088922718685,3103.0988606501637,40.157427542116665,3,11,2,low,0,0.18165531488434325
12,Golden Retriever,high,8.82172213554438,1164.8829237686646,87.11529388601636,2,9,1,high,2,0.8093474921179122
3,Corgi,medium,4.716481156198086,2713.6622973595618,33.54316911524296,1,4,4,medium,1,0.49859702530695366
3,Poodle,medium,10.315600373363292,3499.2199209635332,27.024894547686976,0,11,0,medium,1,0.5610779079290255
14,Boxer,high,2.0142472969121576,9290.37606490329,113.84372947990501,3,4,3,low,0,0.0
12,Corgi,medium,2.2903641942844706,7281.2493453169445,65.01368079764069,1,12,4,low,0,0.0
4,Husky,high,0.35136954658778685,3561.024429139855,94.74944198613365,1,3,5,medium,1,0.5553210883960711
6,Corgi,medium,0.8865802795728728,1755.145427014728,24.664183706856612,1,1,6,medium,1,0.5144738197715226
10,Beagle,high,5.137395433956151,3713.731066989422,44.27842602329642,3,8,3,high,2,0.9021033281549963
5,Rottweiler,medium,10.792262280122635,4165.790335433924,52.20631111020367,0,10,4,medium,1,0.6160745067671659
2,Golden Retriever,high,1.5340598507649732,4296.936445577235,113.27305775159334,2,19,6,medium,1,0.4845688330657989
1,Husky,high,0.7383512513708417,1646.0498807472454,65.70155932334407,4,6,1,high,2,0.9992889630363191
2,Shih Tzu,low,10.8183368605148,4698.737960219909,60.931850318700924,2,13,0,low,0,0.0793850442652998
10,Chihuahua,medium,3.882896790724236,3842.135262651559,13.308506880575512,3,17,0,medium,1,0.4675822302182049
9,Chihuahua,medium,4.6194379157140215,9011.587482662773,38.80299935756388,2,19,3,low,0,0.10595455124155773
9,Golden Retriever,high,9.050768766652833,586.2261437012288,62.70463432507374,2,16,6,high,2,0.9589109916761225
9,Rottweiler,medium,7.046858159519688,6239.874788150117,35.002050310914335,1,5,1,low,0,0.3222166895923686
8,Chihuahua,medium,4.987784938185702,2538.5824663438084,32.45881482089978,2,8,6,high,2,0.6663344306035504
9,Chihuahua,medium,6.218660736137326,2476.061915836567,89.37982791836463,4,2,1,medium,1,0.39829772752284986
12,German Shepherd,high,3.6286343596536077,10975.789417284419,74.04995401320095,2,13,0,low,0,0.016804989257492714
1,Golden Retriever,high,1.8860614965930491,1932.618430794316,55.06970336902609,2,19,4,high,2,0.8778029940063267
13,Rottweiler,medium,0.07819797551706054,2129.8473610960828,22.072492908835294,2,12,4,low,0,0.28499789232076445
5,Rottweiler,medium,1.679151448825614,424.3550708461333,42.47516893036856,2,23,2,medium,1,0.4130032975704041
2,Labrador,high,1.0348264458849072,4614.758692995521,39.80097440418825,0,8,2,high,2,0.7908591498412133
1,Pomeranian,medium,0.530051662737548,2129.0414334025427,24.932126011015853,1,10,1,high,2,0.7354280600139336
12,Dachshund,medium,2.3688778877225767,2049.0087681689283,40.960613795236576,3,20,0,low,0,0.13080590421714905
13,Beagle,high,12.2157553332809,4670.199566689703,61.44611128447794,3,14,2,medium,1,0.5697686700087714
10,Rottweiler,medium,1.8770135975812487,2545.2224801234365,126.51109346417293,2,8,6,medium,1,0.3789591441585156
4,Chihuahua,medium,8.783450027306165,6170.566690994181,37.87076739894994,2,16,2,medium,1,0.348146580498077
2,German Shepherd,high,4.8965037771492925,3690.2961763422322,199.92371579898895,1,3,2,medium,1,0.36038133620781526
14,German Shepherd,high,2.7486035453843076,8862.726288658225,111.28783701326066,1,8,4,low,0,0.1858268892370934
11,Bulldog,low,9.321204723646517,2571.20663031057,91.44949307528674,1,0,0,low,0,0.0
7,Rottweiler,medium,6.0727155035561,1693.5757411233692,39.67014342703955,3,22,5,medium,1,0.41708868869093396
6,Dachshund,medium,7.590350077259119,4034.913964028787,52.92793137337503,2,1,1,medium,1,0.4187578350124872
10,Corgi,medium,1.6461666626828975,3666.321192887186,76.88548211685205,2,1,0,low,0,0.28190980084602035
9,Border Collie,high,0.16891101723477173,551.1374046379592,30.758000529355613,3,9,0,high,2,1.0
13,Beagle,high,3.201447630032624,1334.48098576303,35.99560287536591,0,18,4,high,2,0.6832995941663471
11,Corgi,medium,1.6318105603037352,4844.855670617384,92.50195706585427,1,1,6,low,0,0.0
10,German Shepherd,high,0.20183894638046884,5417.130330809813,90.87932075633078,3,13,5,medium,1,0.45113786070025885
5,Corgi,medium,5.933437589462558,4842.732383338165,62.84280571450272,1,16,6,low,0,0.3178863358711625
13,Bulldog,low,0.8106450412335662,1237.9029802662014,26.836836453471953,6,19,1,low,0,0.005477814070907444
9,Rottweiler,medium,17.491477785442136,607.4583706108939,60.10671570100012,6,3,0,high,2,0.7714770049348817
13,Husky,high,5.842834883626917,5861.460627671217,51.392159610815646,3,17,0,medium,1,0.4172125447064698
9,Bulldog,low,2.539982243614831,5873.31320175062,60.578097498033294,2,21,2,low,0,0.0
8,Chihuahua,medium,2.657242952494342,5416.630275257092,55.19749269041324,2,9,6,medium,1,0.39796250096678043
9,Chihuahua,medium,14.57215336792121,5776.2286364904985,69.38309396511967,1,12,2,medium,1,0.3895044363631245
4,Husky,high,17.257402952232518,8317.802334016556,31.92106744674369,4,6,2,high,2,0.8587525738793561
8,Pomeranian,medium,3.269441802833227,618.4155956302521,35.326246848078206,2,23,2,medium,1,0.4457368105225431
5,Border Collie,high,2.5950470417246314,6672.661705285547,57.45234443066073,1,16,5,medium,1,0.49926022063495923
2,Shih Tzu,low,3.3406859008551084,2849.1566299709943,33.56103658150265,4,18,2,low,0,0.13415944242890215
2,Dachshund,medium,13.412150136706101,918.9521486792133,61.193890783827925,0,13,5,high,2,0.6820806463981124
10,Husky,high,0.0945812494567955,2275.3813370047437,30.352785008948885,1,20,0,medium,1,0.6391715114149564
6,Chihuahua,medium,12.806165184382632,2580.64004028272,37.23872918619425,1,7,2,high,2,0.782167527690595
4,Husky,high,1.5257849035131525,3253.3388307557734,64.90458695323291,1,13,6,high,2,0.6679679511634572
8,Corgi,medium,9.50987673658434,3378.3792537516497,93.01459784365854,1,22,5,low,0,0.23992536244216037
4,Poodle,medium,0.36754067130804313,2128.8145678854903,45.93799710737321,1,17,4,medium,1,0.4302184776802383
2,Corgi,medium,0.9353301393785465,5551.3011241431595,27.974944748673796,5,15,6,low,0,0.27924007300270165
9,Husky,high,6.177729963019704,958.0045300023787,18.825042953736705,0,1,5,high,2,0.9984192868658439
11,Boxer,high,8.296144234035307,5404.26126884931,75.81441314666483,2,8,3,medium,1,0.5744773615696346
12,Bulldog,low,10.837560234192168,2826.9740489046585,26.043167701526375,0,2,5,low,0,0.07923297504844068
12,German Shepherd,high,1.1148828061859277,2307.343073899058,114.21326893994132,3,12,1,medium,1,0.39460762331930205
3,Beagle,high,2.7192031862395005,2024.8901217281875,61.239048305664284,0,22,0,medium,1,0.6207290250361397
8,Shih Tzu,low,1.5218277329277152,1721.5520101144386,19.105345935199956,4,3,3,low,0,0.20764064343726238
10,Bulldog,low,2.57619931637396,2682.658083095843,35.274680313433876,1,12,1,low,0,0.12712380283689736
10,Corgi,medium,3.079107494003571,2715.9441545989107,29.923686078626773,0,20,3,medium,1,0.330219260427558
11,Beagle,high,0.35351205222271775,6294.366149483722,40.524449753891275,2,23,0,low,0,0.17691877418329377
13,Boxer,high,9.62460788556562,886.3627587372877,40.17920487048909,2,21,3,medium,1,0.6567803537256336
5,Boxer,high,0.18530250552098843,2048.1810249862874,35.527507583090426,1,3,4,high,2,0.7913787446351132
7,Pomeranian,medium,16.641704609270263,1459.3143252436937,63.42214990002212,4,0,0,high,2,0.6979141758898274
9,German Shepherd,high,11.664837031119394,1812.0294059426355,93.50016260746615,1,23,1,high,2,0.7019417796434332
11,Bulldog,low,4.368556918849635,3019.9451830596913,29.44526916027041,0,20,6,low,0,0.0
14,Poodle,medium,3.033220426840929,2943.76798664668,19.694760743049574,1,3,5,low,0,0.291357359390924
10,Golden Retriever,high,18.577408800560978,5042.297842421339,29.18191487352388,1,12,4,high,2,0.9341308222802596
5,Pomeranian,medium,2.8134233494052565,775.9097946709554,25.329006717006806,1,5,1,medium,1,0.6036799513506466
9,German Shepherd,high,10.69496366086633,3520.266473541587,42.0766811479666,0,2,6,high,2,0.8618417030653606
8,Poodle,medium,3.3334757044055188,1096.517292751261,40.07955382075204,0,5,1,medium,1,0.5562346729564696
10,Pomeranian,medium,8.320264059452892,2936.086913032356,26.507420798777943,2,13,5,medium,1,0.5629039675453287
1,Border Collie,high,2.8214326208412532,10685.301070201502,70.34500325914708,1,11,0,medium,1,0.33004330465406306
9,German Shepherd,high,1.0761517613209977,2885.049850738001,68.11837243938088,4,18,0,high,2,0.674536940545951
12,German Shepherd,high,4.961982963713276,8126.092916186892,27.249705060575657,3,3,4,low,0,0.3270098784392353
3,Pomeranian,medium,15.821719293394295,2857.5052477631452,134.50580460243842,1,12,5,medium,1,0.4226471618513534
12,Shih Tzu,low,3.6272099540152163,1239.247019518271,46.63920724808115,2,14,2,low,0,0.002833993275621144
14,Bulldog,low,18.368447786484786,4154.541890085019,68.46050651875515,1,0,1,low,0,0.019050350072757405
13,Border Collie,high,20.229630044439705,10031.95460641703,89.80008533543068,2,19,3,low,0,0.3107430110170632
11,German Shepherd,high,15.791990503143062,2815.7843723776036,34.00331496833363,4,0,1,high,2,0.8092444919555608
8,Boxer,high,8.998785015280168,1492.0298419898616,79.66376451507213,1,1,2,high,2,0.8612985484475975
1,Chihuahua,medium,4.540429241970665,3973.0214229903813,65.59033489357782,2,17,6,medium,1,0.4399833647528103
13,German Shepherd,high,3.256317533493754,5275.806466095498,46.09266286030724,4,7,2,medium,1,0.5724919137750646
7,Bulldog,low,9.96550125461618,5343.512671555423,15.506499773045983,0,23,6,low,0,0.0
12,Pomeranian,medium,3.4673127154359027,4192.668842030866,35.00152483386176,3,12,4,low,0,0.1853912693174254
13,Boxer,high,1.4599268215690233,7539.302535555265,58.82323752551528,4,14,6,low,0,0.22491586774571298
13,Rottweiler,medium,18.826015577863757,1353.9437199477006,78.70675454460546,0,7,3,medium,1,0.6524300834060202
7,Corgi,medium,1.3898727308005707,5612.533517083366,93.87359368309143,2,7,1,low,0,0.26839521694727897
11,Boxer,high,12.959067024718031,7025.8470726503265,62.96777358107402,2,7,2,medium,1,0.5870141921002625
4,Corgi,medium,13.549339864926125,1955.2949871449937,129.31750790061872,0,20,0,low,0,0.30187752876852236
10,German Shepherd,high,7.462008695523011,7629.890886657003,66.21483750866227,2,23,0,medium,1,0.35103626462097437
1,Pomeranian,medium,4.99813459384519,7347.21481000524,49.44334020364459,2,16,1,low,0,0.2855276707879939
3,Golden Retriever,high,9.758797968011063,21552.752014472302,48.35536282779822,0,2,2,low,0,0.0
11,Bulldog,low,1.9582774001907404,1835.2861115534201,89.90883002316608,1,8,4,low,0,0.0
9,Husky,high,0.7599222246572102,4195.139139004842,100.72704843105102,3,1,4,medium,1,0.5091394009930355
3,Poodle,medium,8.652015876938766,10742.013360162857,18.378453408707387,3,16,3,low,0,0.12039999615077285
6,Bulldog,low,0.6036907688432818,1824.0458176066586,119.7176228201165,3,20,2,low,0,0.0
7,Poodle,medium,8.776399667708299,1018.1168104755498,13.353994987599918,0,18,2,high,2,0.7184679983642722
2,Pomeranian,medium,0.661181135775341,1450.5600787911196,85.23243854931485,3,14,5,medium,1,0.37757165116216795
7,Bulldog,low,1.390936344859534,783.0777449807159,87.36331810853994,2,2,1,low,0,0.09112264577746608
5,Shih Tzu,low,0.4478500537244705,2555.1395488717812,31.38832658723159,3,23,6,low,0,0.0
5,German Shepherd,high,8.14646358435374,4281.774999434957,81.31826024211921,3,3,4,high,2,0.675572242501167
11,Boxer,high,2.7395633630964342,6543.638459590422,88.46128474367842,2,6,4,medium,1,0.38188786995031926
5,Beagle,high,7.170586862459068,489.98688026698846,38.94558607414095,0,9,6,high,2,1.0
13,Beagle,high,5.735377298266709,2470.2485972501454,102.15091729548348,2,3,4,medium,1,0.4919974125640611
13,Husky,high,0.5277503117046244,4511.815443935216,6.848089015953267,4,7,6,high,2,0.6709666893524142
6,Pomeranian,medium,16.187452605381903,3014.2153406646944,113.18549793777461,1,12,1,medium,1,0.47264087813871347
7,Beagle,high,10.608649429972447,2661.3612151601337,39.62273665515558,1,16,3,high,2,0.9180723092853772
13,Beagle,high,5.309156181792668,4288.702223329439,82.81367744302683,2,23,6,low,0,0.27412960935587766
3,Chihuahua,medium,0.8520788598222633,4216.86456269979,24.599434542039333,1,0,3,medium,1,0.3663575208799519
7,Corgi,medium,2.7376778997352886,4548.9699365486085,70.41118435063991,3,17,2,low,0,0.26332847459273845
2,Border Collie,high,5.76865529752757,834.5082064216836,218.91726113797768,1,18,5,medium,1,0.49878060972854765
3,Rottweiler,medium,9.885916717758,1351.8596628589373,74.98281455785447,1,22,0,medium,1,0.4128633291297942
1,Chihuahua,medium,1.1142332594765012,1639.1710098866263,58.54997885084882,2,16,1,medium,1,0.5405120132709554
5,Corgi,medium,0.6636471129301517,7938.3385080532125,52.61929329333996,2,7,3,low,0,0.21987890816562664
13,Corgi,medium,0.675920652072734,5113.337086193369,41.23161119335505,0,9,6,low,0,0.21805275771288907
12,Labrador,high,1.4857803977878739,4616.700046898346,80.44877706252555,0,9,6,medium,1,0.4966390611595833
5,Boxer,high,1.2156001200522604,4135.010360267416,53.78860704558531,0,12,5,medium,1,0.6376878627708628
9,Golden Retriever,high,16.996355816698156,1554.2893391748476,38.46229094929184,0,21,6,high,2,0.9438595092212488
11,Chihuahua,medium,13.371076342882407,501.838138165406,53.66198159945674,2,0,5,medium,1,0.525252696759474
3,Labrador,high,0.005967759547877753,891.474358468805,61.02331151956786,3,18,2,high,2,0.7940527223520834
4,Boxer,high,9.952839536261795,3392.4125134295364,26.986024906430536,3,17,4,high,2,0.8948708458658481
13,Labrador,high,0.34712097824824256,1925.475786194415,89.18276954483332,1,6,0,medium,1,0.6172998786037225
7,Poodle,medium,1.6401693574348895,6033.060079370621,74.3058020702918,0,10,4,low,0,0.29625471268594805
4,German Shepherd,high,5.669034963019976,7606.669454630337,33.60911261923483,1,19,0,medium,1,0.5540609672244257
3,Corgi,medium,4.6202576916824265,363.13446451741913,65.62439568188691,1,12,5,medium,1,0.5578219044522781
8,Border Collie,high,11.629404771499065,11188.398420259551,77.30851333851072,0,5,4,low,0,0.32924822429646783
2,Pomeranian,medium,6.472744532005981,1412.1899839591404,121.16252982184614,2,15,1,medium,1,0.3869080186079359
3,Labrador,high,1.285060277732668,9353.612653496093,92.33920388909993,4,22,6,low,0,0.07935290236302905
