pet1_breed,pet1_size,pet1_energy,pet1_temperament,pet1_age,pet1_social,pet1_weight,pet2_breed,pet2_size,pet2_energy,pet2_temperament,pet2_age,pet2_social,pet2_weight,compatibility_score
Shih Tzu,small,low,calm,2,0.6762522421274015,9,German Shepherd,large,high,protective,1,0.5184396351757241,93,0.24948093760212792
Pomeranian,small,medium,bold,12,0.42167179428972673,22,Golden Retriever,large,high,friendly,7,1.0,78,0.44816278664432085
Dachshund,small,medium,stubborn,10,0.500419653267817,6,Poodle,medium,medium,intelligent,13,0.6410354287247685,55,0.8425802977462368
Chihuahua,small,medium,nervous,1,0.4112810440628241,22,Corgi,small,medium,friendly,11,0.7726554997561155,17,0.878649475400827
Border Collie,medium,high,intelligent,4,0.7003938808492804,26,Golden Retriever,large,low,friendly,4,1.0,73,0.7308687677389982
Boxer,large,high,playful,5,0.8623381334213008,71,Beagle,medium,medium,friendly,3,0.9563124732595136,49,0.8129875204301311
Dachshund,small,low,stubborn,4,0.2843727374591198,20,Pomeranian,small,medium,bold,12,0.45000289904932833,14,0.7077969493807266
Beagle,medium,high,friendly,8,0.8451181807459002,50,Poodle,medium,medium,intelligent,8,0.8501101290995996,33,1.0
Bulldog,medium,medium,calm,8,0.6807048815898542,43,Rottweiler,large,medium,protective,6,0.612903451458332,60,0.8465836030771645
Husky,large,low,energetic,14,0.6552753694398296,69,Corgi,small,medium,friendly,6,0.7674845749879555,7,0.4394139939914233
Shih Tzu,small,low,calm,12,0.5449082372511271,12,Golden Retriever,large,high,friendly,5,0.8483001920456739,81,0.11964967381343414
Beagle,medium,low,friendly,8,0.7896160183523709,48,Rottweiler,large,medium,protective,4,0.4687977367276001,78,0.6296292742984422
Poodle,medium,medium,intelligent,3,0.731137050775827,50,Boxer,large,high,playful,12,0.797921908855647,97,0.5280825780286448
Dachshund,small,medium,stubborn,4,0.5432631077854166,13,Border Collie,medium,high,intelligent,8,0.7201384789126345,27,0.7390040925091566
Shih Tzu,small,low,calm,3,0.5841936930578947,8,Dachshund,small,medium,stubborn,5,0.3700668058561358,7,0.6809814969223245
Bulldog,medium,low,calm,11,0.7928966378890991,41,Chihuahua,small,medium,nervous,2,0.38330698787467277,9,0.5428724961152075
Rottweiler,large,medium,protective,5,0.5127938056865846,93,Rottweiler,large,medium,protective,13,0.389360068921999,78,0.7840396778474676
Border Collie,medium,medium,intelligent,6,0.765298847668057,52,Pomeranian,small,medium,bold,5,0.5349950993161785,24,0.9440589526298615
Poodle,medium,medium,intelligent,1,0.7433770690130798,40,Husky,large,high,energetic,6,0.7828758345903888,96,0.6473477137469509
Husky,large,medium,energetic,8,0.5204737462685284,60,Corgi,small,medium,friendly,3,0.6089657825116249,5,0.5612070187839517
Beagle,medium,high,friendly,8,0.811144415208108,56,Poodle,medium,medium,intelligent,6,0.8286453825131452,38,0.8710181064902607
Boxer,large,high,playful,3,0.7628210977727451,75,Golden Retriever,large,high,friendly,9,0.9666795722630767,76,0.9546935305680367
Boxer,large,high,playful,2,0.8977331331812439,86,Corgi,small,low,friendly,8,0.8177172263177687,6,0.2777196503028613
Labrador,large,high,friendly,1,0.8814230665741152,68,Dachshund,small,medium,stubborn,10,0.6578916053428603,24,0.35212511801807433
Dachshund,small,medium,stubborn,3,0.5365719015558403,15,Bulldog,medium,medium,calm,7,0.650963474229252,25,0.8018423899723536
Border Collie,medium,high,intelligent,7,0.6957963485973746,57,Golden Retriever,large,low,friendly,2,0.8684698676911268,90,0.36482738690831956
Dachshund,small,medium,stubborn,10,0.5456542616047014,11,Poodle,medium,medium,intelligent,6,0.6481568614696617,41,0.8188167699176133
Labrador,large,medium,friendly,11,0.9572961331627821,90,Border Collie,medium,high,intelligent,10,0.890195595867407,56,0.9042462218229541
Dachshund,small,medium,stubborn,1,0.501020697187303,14,Corgi,small,medium,friendly,1,0.907772368461619,23,0.9089972921917358
Border Collie,medium,high,intelligent,8,0.7479752023779377,39,German Shepherd,large,high,protective,11,0.6717318389791602,65,0.8071009779048196
Golden Retriever,large,high,friendly,2,1.0,77,Bulldog,medium,low,calm,14,0.7359882838697814,38,0.4995634000288264
Border Collie,medium,medium,intelligent,1,0.592290269180969,47,Dachshund,small,medium,stubborn,3,0.56782955785,7,0.8442866739823268
Golden Retriever,large,medium,friendly,14,0.9833144336155746,83,Bulldog,medium,medium,calm,7,0.5732188164778061,46,0.7787751232096153
Border Collie,medium,medium,intelligent,5,0.7169521765488821,49,Husky,large,high,energetic,3,0.6928480735066882,61,0.7005016928798491
Beagle,medium,high,friendly,13,0.8428186726225241,38,Pomeranian,small,high,bold,8,0.5756692434106375,14,0.7973805099889999
Corgi,small,medium,friendly,9,0.7693415016409022,6,Beagle,medium,high,friendly,5,0.70375509844353,25,0.8742235188519436
German Shepherd,large,high,protective,3,0.797687122918312,81,Pomeranian,small,high,bold,2,0.49496266935423167,10,0.6401504430335552
Shih Tzu,small,low,calm,5,0.5905246998527086,5,Rottweiler,large,medium,protective,14,0.537296871449883,82,0.3142633508054845
Corgi,small,medium,friendly,10,0.7178759175667214,17,Labrador,large,low,friendly,13,0.8113933429971362,61,0.7277437475595414
Corgi,small,medium,friendly,5,0.8045386085967557,13,Dachshund,small,medium,stubborn,9,0.4937801746217116,14,0.8639278935579303
German Shepherd,large,low,protective,7,0.596262251287374,90,Corgi,small,medium,friendly,10,0.6445685582235984,11,0.532452721547051
German Shepherd,large,high,protective,6,0.6426895625794093,72,Chihuahua,small,medium,nervous,14,0.5325571972386575,15,0.4198697628332579
Golden Retriever,large,high,friendly,3,0.8911529861179217,68,Poodle,medium,medium,intelligent,13,0.6614582057017218,55,0.5720145628080727
Beagle,medium,medium,friendly,11,0.6956528303887299,36,Beagle,medium,high,friendly,10,0.5951944487419327,47,0.9284233105011164
Boxer,large,high,playful,3,0.8135984178074506,86,Rottweiler,large,medium,protective,6,0.3964047092199217,98,0.7852686443130367
Pomeranian,small,medium,bold,3,0.39179872319946446,8,German Shepherd,large,low,protective,12,0.7339269372615012,78,0.2777290594070764
Dachshund,small,medium,stubborn,7,0.4154212182744305,12,Chihuahua,small,medium,nervous,12,0.5152811879891475,24,0.6857601723039366
Pomeranian,small,medium,bold,9,0.5282126852299881,21,Chihuahua,small,medium,nervous,1,0.3017836186598197,6,0.6774438829600322
Boxer,large,medium,playful,14,0.7528898475140694,83,Labrador,large,high,friendly,6,0.7595935469236555,88,0.7743659249611464
Corgi,small,medium,friendly,3,0.6572838455938006,11,Shih Tzu,small,high,calm,6,0.48798595012947144,10,0.8082959567832324
Husky,large,high,energetic,10,0.49244751963080247,98,Dachshund,small,medium,stubborn,4,0.5130351583854359,15,0.4576821125816217
Husky,large,high,energetic,4,0.6263951843009343,66,Border Collie,medium,medium,intelligent,13,0.5648230845618792,36,0.5112774284989245
German Shepherd,large,high,protective,2,0.5158106893181498,91,Chihuahua,small,medium,nervous,2,0.6082659320864677,8,0.514651714500139
Labrador,large,high,friendly,9,0.8340131253773554,75,Boxer,large,high,playful,3,0.7385391718582525,84,0.8289759360114681
Bulldog,medium,high,calm,5,0.8197104793051035,57,Corgi,small,high,friendly,6,0.6960195578810489,17,0.9996424464831485
German Shepherd,large,high,protective,10,0.7243244371601852,77,Beagle,medium,high,friendly,4,0.8639761615017321,55,0.7517236863841547
Labrador,large,high,friendly,4,0.8842327313878835,67,Labrador,large,high,friendly,5,0.889670445592075,75,0.9152854027076834
Poodle,medium,medium,intelligent,9,0.5795917662478056,39,Dachshund,small,medium,stubborn,6,0.6935059400763606,10,0.8926716536355601
Poodle,medium,medium,intelligent,3,0.7682164222084255,44,Border Collie,medium,high,intelligent,4,0.7560083898310944,50,0.9131264838187682
Pomeranian,small,medium,bold,7,0.5192931590512337,14,Border Collie,medium,high,intelligent,5,0.8268593250969201,53,0.6406078466979155
Shih Tzu,small,low,calm,4,0.44971582912471686,22,Golden Retriever,large,high,friendly,3,0.9879182027772305,89,0.21243027132508663
Golden Retriever,large,medium,friendly,13,0.8342968215298177,80,Dachshund,small,medium,stubborn,8,0.6579126649439917,7,0.5971686044892719
Poodle,medium,medium,intelligent,12,0.8274740517644665,30,Boxer,large,medium,playful,8,0.7834726594988055,89,0.9997323618995452
Pomeranian,small,high,bold,10,0.5411743194161647,15,Corgi,small,medium,friendly,13,0.8270337750744015,6,0.7738608197009511
Husky,large,low,energetic,13,0.6773410942334253,67,Labrador,large,high,friendly,13,0.9672153644920877,73,0.8359086894667583
Husky,large,high,energetic,11,0.6797380944972663,76,Border Collie,medium,medium,intelligent,9,0.7501540157819457,46,0.7278457113241821
Corgi,small,medium,friendly,9,0.6543885338139779,21,Golden Retriever,large,high,friendly,8,0.9017247053198114,99,0.8204968257754568
Bulldog,medium,medium,calm,1,0.6003604042501556,47,Bulldog,medium,low,calm,1,0.6084692288238048,59,1.0
Bulldog,medium,low,calm,4,0.8120431721260167,37,Border Collie,medium,high,intelligent,13,0.746334507438078,47,0.3448911700906292
Rottweiler,large,medium,protective,5,0.40133449859139947,90,Beagle,medium,high,friendly,12,0.6895500409985338,27,0.5750149995783083
Rottweiler,large,high,protective,14,0.4594070423411446,85,Golden Retriever,large,high,friendly,10,0.9519477509244152,65,0.9400029677570289
Poodle,medium,high,intelligent,5,0.8243976708894973,25,Golden Retriever,large,high,friendly,14,0.7891815329777474,85,0.8411940394727518
Shih Tzu,small,low,calm,1,0.6426485970695732,8,Labrador,large,high,friendly,2,0.9308885684123904,93,0.32748662239533777
Rottweiler,large,medium,protective,2,0.6404638112895537,94,German Shepherd,large,high,protective,14,0.6022128842013937,75,0.753169353270726
Golden Retriever,large,high,friendly,11,0.9409740084759092,91,Beagle,medium,high,friendly,8,0.899035684297442,54,0.9779471576056652
Dachshund,small,medium,stubborn,4,0.4444196145789763,24,Shih Tzu,small,medium,calm,10,0.5803468503414224,21,0.8859429129640845
Bulldog,medium,medium,calm,7,0.8458886118914951,32,Rottweiler,large,high,protective,13,0.6191754101423298,90,0.6329107357066156
Poodle,medium,medium,intelligent,11,0.6027924416568956,27,Husky,large,high,energetic,8,0.5714568747724531,68,0.6950740756628578
Dachshund,small,medium,stubborn,6,0.5204762603932357,23,Pomeranian,small,medium,bold,1,0.7469544746737284,23,0.7828827135992309
Chihuahua,small,medium,nervous,9,0.24420940334655242,15,Beagle,medium,medium,friendly,8,0.6811803792028818,26,0.8516853285386032
Dachshund,small,medium,stubborn,3,0.49110263747072963,10,Poodle,medium,medium,intelligent,7,0.7106668281263371,51,0.8303796358802803
Bulldog,medium,low,calm,3,0.6275750899697642,27,Poodle,medium,medium,intelligent,4,0.6531747961012508,25,0.8748586044330395
Corgi,small,medium,friendly,11,0.6867438828733653,22,Shih Tzu,small,low,calm,14,0.49587507614652393,21,0.8119791390574469
Boxer,large,high,playful,6,0.7165151490477374,62,Shih Tzu,small,low,calm,5,0.5401333512324741,20,0.3184222182056782
Chihuahua,small,medium,nervous,8,0.5344989638381338,24,Boxer,large,high,playful,6,0.8212582561477723,86,0.47057199643139175
Poodle,medium,medium,intelligent,14,0.6939348626602057,38,Poodle,medium,medium,intelligent,2,0.7096330413483402,36,0.8568025625923473
Boxer,large,high,playful,11,0.7347174702115645,67,Boxer,large,medium,playful,6,0.9679344561203789,99,1.0
Shih Tzu,small,low,calm,12,0.5835447077960207,15,Golden Retriever,large,high,friendly,7,0.9267690710440171,62,0.11605384107721425
Pomeranian,small,medium,bold,9,0.5428395694860103,22,Pomeranian,small,medium,bold,10,0.4216032789603032,19,0.9164574798091377
Border Collie,medium,medium,intelligent,10,0.6388806819717399,44,Rottweiler,large,medium,protective,2,0.4313840687914877,75,0.7893397746036046
Shih Tzu,small,low,calm,11,0.49943947712629183,13,Corgi,small,medium,friendly,4,0.865294079558108,7,0.59255832903762
Rottweiler,large,medium,protective,12,0.4702687006509087,67,Husky,large,high,energetic,13,0.7498465887155901,95,0.9807565977330422
Rottweiler,large,medium,protective,14,0.48525078197574445,96,German Shepherd,large,medium,protective,9,0.6637793698890894,71,0.865178382703166
German Shepherd,large,high,protective,3,0.6468107027513906,74,Pomeranian,small,medium,bold,13,0.5009168240244477,10,0.32252088104379856
Pomeranian,small,medium,bold,1,0.44298397525964495,13,Boxer,large,high,playful,8,0.7291040772017126,64,0.4381022008788464
Poodle,medium,medium,intelligent,10,0.772104990812284,49,Boxer,large,high,playful,1,0.838828499722746,76,0.7000962511400772
Husky,large,high,energetic,3,0.7405299683440951,60,Rottweiler,large,medium,protective,7,0.490773558530784,72,0.7696216412854837
Husky,large,high,energetic,1,0.8866797915053573,99,Border Collie,medium,high,intelligent,3,0.5108786582035889,36,0.939412757699404
Corgi,small,medium,friendly,6,0.6906396419587835,6,Beagle,medium,high,friendly,8,0.650022994296884,56,0.9595668607005898
Golden Retriever,large,high,friendly,5,0.9458185940216924,98,Corgi,small,medium,friendly,9,0.5783800245901574,6,0.7050503686359333
Beagle,medium,medium,friendly,12,0.7519934435868076,57,Bulldog,medium,low,calm,12,0.7153996671488494,25,0.914366840471502
Bulldog,medium,low,calm,13,0.5894748171889589,27,Border Collie,medium,high,intelligent,10,0.7847094452521011,37,0.4601453958714429
Golden Retriever,large,medium,friendly,3,1.0,72,Poodle,medium,medium,intelligent,13,0.5388258023566406,51,0.6818346537804642
Labrador,large,high,friendly,14,0.8840799457630032,84,Labrador,large,medium,friendly,12,0.857738577364994,86,0.9921684209072511
Beagle,medium,high,friendly,10,0.8625323849816687,42,Chihuahua,small,low,nervous,3,0.3538169131184044,11,0.36904962697239574
Dachshund,small,high,stubborn,11,0.7049409446677005,15,Chihuahua,small,medium,nervous,6,0.3812044270732161,16,0.7507008754621186
Beagle,medium,high,friendly,11,0.7712109830403387,30,Chihuahua,small,medium,nervous,11,0.4880500816684997,6,0.819142188299536
Boxer,large,high,playful,14,0.97987515584758,95,Husky,large,high,energetic,9,0.6417622994779585,61,1.0
Poodle,medium,medium,intelligent,9,0.7959225983062979,58,Dachshund,small,medium,stubborn,1,0.4521527713628556,19,0.7067476013059831
Boxer,large,high,playful,12,0.8420630312555292,65,Beagle,medium,high,friendly,7,0.8973700376168555,37,0.9130792856438118
Corgi,small,medium,friendly,13,0.6656284429528475,9,Bulldog,medium,low,calm,8,0.49355327536837124,56,0.6363563837679128
Corgi,small,medium,friendly,5,0.6741556565329512,24,Rottweiler,large,medium,protective,7,0.6528429788391065,77,0.6166383292935553
Poodle,medium,medium,intelligent,12,0.7042397178422604,31,Border Collie,medium,high,intelligent,9,0.6614656441744851,47,0.7416127716310876
Bulldog,medium,high,calm,11,0.7167874678677958,26,Beagle,medium,high,friendly,10,0.7844002335930174,26,0.9944101605233409
Pomeranian,small,medium,bold,9,0.3030790995720317,19,Chihuahua,small,medium,nervous,10,0.47738319981550714,7,0.865705940682008
Beagle,medium,high,friendly,4,0.8192142482711129,59,Rottweiler,large,high,protective,2,0.5501849496079643,95,0.9465129932203866
Border Collie,medium,high,intelligent,7,0.713523833121361,39,Pomeranian,small,medium,bold,1,0.6179569204160192,22,0.5875579583877154
Poodle,medium,medium,intelligent,6,0.6924386496280709,59,Husky,large,high,energetic,11,0.5818131260819935,81,0.6833211774573245
Border Collie,medium,high,intelligent,7,0.6506642986272831,47,Shih Tzu,small,low,calm,3,0.6109363087497884,15,0.40954377507895645
Beagle,medium,high,friendly,7,0.9663008437986473,25,Shih Tzu,small,low,calm,7,0.6007312098935472,14,0.5070305879595915
Poodle,medium,high,intelligent,14,0.7700571822064444,33,Rottweiler,large,medium,protective,4,0.6691117036531429,67,0.5632781964090565
Chihuahua,small,medium,nervous,11,0.48941662231790334,10,Poodle,medium,high,intelligent,1,0.7008649131677989,56,0.5926431203844428
German Shepherd,large,high,protective,13,0.5760925394380019,61,German Shepherd,large,medium,protective,8,0.49253608036259866,88,0.7399753190108239
Bulldog,medium,low,calm,3,0.8012605412811739,31,Chihuahua,small,high,nervous,6,0.4371311052229013,19,0.4047905479122893
Husky,large,high,energetic,7,0.7401761147270491,81,Dachshund,small,medium,stubborn,4,0.5383933301083348,19,0.49135550038185366
Rottweiler,large,medium,protective,11,0.4631325455822439,87,Poodle,medium,medium,intelligent,6,0.5998291912750082,32,0.8027636657255531
Boxer,large,medium,playful,6,0.8593045220504096,79,Dachshund,small,medium,stubborn,6,0.5000366564466205,10,0.7392122488482334
Corgi,small,medium,friendly,12,0.46380642635819974,23,German Shepherd,large,high,protective,5,0.5380538261843952,82,0.3564043626778724
Bulldog,medium,high,calm,3,0.5878303118571055,41,Pomeranian,small,medium,bold,10,0.3526117819425699,12,0.43020720122881206
Chihuahua,small,medium,nervous,6,0.395631787385908,21,Dachshund,small,medium,stubborn,7,0.5693640785495827,16,0.8673286368305617
Chihuahua,small,medium,nervous,4,0.5254232852578031,12,German Shepherd,large,high,protective,2,0.41051409922211823,67,0.3716280320304311
Border Collie,medium,high,intelligent,7,0.7868710378091299,34,Dachshund,small,medium,stubborn,11,0.4361969286608065,12,0.6908838332577057
Rottweiler,large,medium,protective,12,0.5263152981884479,99,Beagle,medium,high,friendly,8,0.6834034742590132,39,0.6684269010612646
Shih Tzu,small,low,calm,5,0.5681853608828223,21,Corgi,small,high,friendly,6,0.7893566246312442,8,0.6819095981080635
Rottweiler,large,high,protective,7,0.5178908587108038,83,German Shepherd,large,high,protective,12,0.5334815369920661,64,0.8447859599493578
Border Collie,medium,medium,intelligent,13,0.6332432718326997,33,Chihuahua,small,high,nervous,10,0.5510314928607811,21,0.7335889710951085
Beagle,medium,high,friendly,14,0.6470026937905148,44,Shih Tzu,small,low,calm,8,0.6279305671799339,24,0.35010684451179586
Corgi,small,medium,friendly,4,0.5018790070660596,21,Poodle,medium,medium,intelligent,9,0.6685125917045419,28,0.8294938867725095
Corgi,small,medium,friendly,6,0.5573250873257677,24,Border Collie,medium,high,intelligent,9,0.7406270792508836,53,0.7632372381682794
Dachshund,small,medium,stubborn,7,0.36579872199579033,8,Pomeranian,small,medium,bold,12,0.41448888152129015,15,0.7355799862102161
Shih Tzu,small,low,calm,4,0.6453180103016571,23,Corgi,small,high,friendly,4,0.7793933540257449,13,0.7320598967273654
Border Collie,medium,high,intelligent,10,0.6207180906375934,42,Pomeranian,small,medium,bold,3,0.5406597957566711,22,0.5832938090454032
Dachshund,small,medium,stubborn,11,0.5449459951899336,13,Dachshund,small,medium,stubborn,4,0.43315227455447414,23,0.8035769365430907
Husky,large,high,energetic,9,0.9175618643048944,60,Dachshund,small,high,stubborn,1,0.40508268043145523,19,0.5968056044846726
Chihuahua,small,medium,nervous,4,0.2855866708069653,13,Pomeranian,small,medium,bold,8,0.5366600881146114,6,0.7521837762109851
Bulldog,medium,low,calm,1,0.5856282840298314,58,Golden Retriever,large,high,friendly,14,0.7675950394528754,64,0.2396554489932601
Bulldog,medium,medium,calm,6,0.7274540597141401,38,Dachshund,small,medium,stubborn,11,0.510762206946461,7,0.7694241884840236
Labrador,large,medium,friendly,10,0.7839497397723808,66,Boxer,large,high,playful,9,0.8650539893820981,69,0.9263125677729378
Rottweiler,large,high,protective,1,0.6256457574257622,91,Beagle,medium,high,friendly,9,0.635515102913873,30,0.7344165517119021
Husky,large,high,energetic,1,0.572625629473131,71,Rottweiler,large,medium,protective,11,0.5407564982123275,95,0.6785040359875786
Chihuahua,small,medium,nervous,8,0.29410174084805607,22,Border Collie,medium,medium,intelligent,1,0.6559509099351057,30,0.7019306189799399
Shih Tzu,small,low,calm,1,0.6177084948697096,7,Husky,large,high,energetic,4,0.4921445302395206,89,0.22650129547556921
Labrador,large,high,friendly,1,1.0,96,Golden Retriever,large,high,friendly,1,0.814158579537982,77,0.942479689047637
Bulldog,medium,low,calm,13,0.6477124297064945,35,German Shepherd,large,high,protective,11,0.43146208207301917,96,0.4334800733991195
Pomeranian,small,medium,bold,4,0.38816811559198394,21,Bulldog,medium,low,calm,6,0.7239938253405609,39,0.6897104701018703
Pomeranian,small,medium,bold,1,0.31648582893980776,21,Rottweiler,large,medium,protective,7,0.49782260967592895,71,0.38287834172234403
Husky,large,medium,energetic,5,0.7497064981361554,95,Chihuahua,small,medium,nervous,12,0.4548038631606557,19,0.6546527590933761
Beagle,medium,medium,friendly,12,0.8690921054793349,26,Corgi,small,medium,friendly,11,0.90038915165554,20,1.0
Chihuahua,small,medium,nervous,2,0.2736625339520753,22,Husky,large,high,energetic,14,0.5449403010325157,97,0.0
Border Collie,medium,high,intelligent,13,0.6107302035628768,55,Dachshund,small,medium,stubborn,6,0.47551112103172927,16,0.7103823531878821
Corgi,small,medium,friendly,14,0.8105902885896044,21,Border Collie,medium,high,intelligent,9,0.7404912923170665,26,0.5668881440661224
Rottweiler,large,medium,protective,8,0.5081938873267503,62,Husky,large,high,energetic,3,0.7144174663699447,88,0.7174853256239804
Rottweiler,large,medium,protective,6,0.4025232865845693,75,Pomeranian,small,medium,bold,14,0.482982646141832,16,0.4216751442514586
Beagle,medium,high,friendly,4,0.7098313093929334,39,Shih Tzu,small,low,calm,6,0.7016476310385668,24,0.40288046157582114
Pomeranian,small,high,bold,14,0.5965889016645356,17,Boxer,large,high,playful,10,0.6476934256808723,89,0.5244043157884096
German Shepherd,large,high,protective,12,0.733993022146854,61,Shih Tzu,small,low,calm,5,0.7281975954027666,19,0.19614782988878518
Shih Tzu,small,low,calm,6,0.5518168735729053,5,Chihuahua,small,medium,nervous,5,0.4906944488857521,16,0.8896780937581048
Husky,large,high,energetic,10,0.5998154382392309,75,Shih Tzu,small,low,calm,13,0.49977860343681413,12,0.2585225470700111
Rottweiler,large,medium,protective,13,0.5567514199935014,65,Boxer,large,high,playful,7,0.8477690405050505,81,0.6806960854818315
Chihuahua,small,medium,nervous,12,0.4763428686001068,8,Border Collie,medium,low,intelligent,14,0.8054050699167361,49,0.6861171976730184
Boxer,large,high,playful,3,0.9485224456949732,89,Bulldog,medium,low,calm,4,0.7556051945795074,35,0.7177153847584247
Chihuahua,small,medium,nervous,11,0.37395613436447406,9,Bulldog,medium,low,calm,7,0.502775261166227,47,0.49865887289433575
Shih Tzu,small,high,calm,9,0.4973606647284021,19,Shih Tzu,small,low,calm,1,0.6784025926129653,10,0.6583096254574718
Husky,large,high,energetic,1,0.7175703178999036,84,Bulldog,medium,low,calm,11,0.7432727615573929,25,0.3395589958168411
German Shepherd,large,high,protective,5,0.6591573455478282,64,Boxer,large,high,playful,12,0.6634617307673624,91,0.9010749207128727
Poodle,medium,medium,intelligent,10,0.700007510915991,45,Labrador,large,high,friendly,4,0.7266292456217331,86,0.5806865082364869
Beagle,medium,high,friendly,2,0.7601925793433196,56,Shih Tzu,small,low,calm,11,0.5031654659955085,7,0.2767830784345621
Pomeranian,small,medium,bold,4,0.5936275420831683,12,Bulldog,medium,low,calm,10,0.602391830519969,38,0.5974996576789818
Pomeranian,small,medium,bold,13,0.4754689668672559,24,Beagle,medium,high,friendly,2,0.9844524320527486,40,0.47126744880522736
Shih Tzu,small,low,calm,1,0.6669436619669638,22,Husky,large,high,energetic,13,0.7949571254094897,80,0.05169196918935046
Husky,large,low,energetic,6,0.7159347864131145,80,Husky,large,medium,energetic,2,0.5105230950616225,65,0.738563051345158
Pomeranian,small,high,bold,6,0.5930660322222806,21,Dachshund,small,medium,stubborn,7,0.4564004234074258,12,0.8704215506942513
Bulldog,medium,low,calm,13,0.6566998926475862,54,Boxer,large,high,playful,5,0.937560731403154,84,0.3289896898504922
Pomeranian,small,medium,bold,12,0.29175046177228214,23,German Shepherd,large,high,protective,1,0.5958185230307284,64,0.14752490786304448
Chihuahua,small,medium,nervous,13,0.3523898704224778,22,Chihuahua,small,medium,nervous,6,0.3543652844146998,20,0.708390694347314
Border Collie,medium,high,intelligent,7,0.4606602801430285,53,Beagle,medium,high,friendly,13,0.5693329394830917,35,0.9079216645040851
Pomeranian,small,medium,bold,10,0.44357846048276584,18,Chihuahua,small,medium,nervous,6,0.3926954305238889,15,0.8444096328542976
Boxer,large,high,playful,13,0.7546027747460702,60,Boxer,large,medium,playful,12,0.6073540718817492,93,0.9031720192079781
Chihuahua,small,medium,nervous,12,0.47278336793437514,18,Bulldog,medium,low,calm,12,0.6600586467843107,40,0.8578857257156043
Beagle,medium,high,friendly,5,0.8495487969886287,27,Bulldog,medium,low,calm,9,0.8301984750774651,28,0.6407888119016081
Shih Tzu,small,high,calm,13,0.510503472468559,22,Husky,large,high,energetic,1,0.6831412603956886,90,0.3764223400896291
German Shepherd,large,high,protective,1,0.7159257355704011,62,Shih Tzu,small,medium,calm,14,0.5765510509713455,24,0.24777203921736246
Pomeranian,small,medium,bold,11,0.6479559817470917,16,Beagle,medium,medium,friendly,6,0.7509499894365665,58,0.888651914920682
Beagle,medium,medium,friendly,11,0.8024204227890998,37,Corgi,small,medium,friendly,9,0.8278767389943837,11,1.0
Corgi,small,medium,friendly,11,0.7387100607208102,11,German Shepherd,large,high,protective,11,0.6080678658379044,77,0.5573133854753649
